Liberal,Conservative,sentiment,Green,Libertarian,twitter_engagement,date,time
0.1715001613,0.368411392,0.1760737151,0.0985908732,0.3614975512,0.7031781175,03-06-2015,08:37:38
0.1976672113,0.2158914208,0.4731737375,0.3707512617,0.2156900018,0.5685107204,03-06-2015,08:36:21
0.2757586539,0.2370938957,0.6222070456,0.2354086339,0.2517388463,0.6837740526,03-06-2015,08:36:11
0.1543960273,0.2813986242,0.9107542634,0.3023605347,0.261844784,0.6854761431,03-06-2015,08:35:49
0.3251751959,0.2486454993,0.7601233125,0.2897894382,0.1363898367,0.5892639799,03-06-2015,08:35:03
0.1578578055,0.2151263952,0.5831915736,0.4363548458,0.1906609386,0.67782182,03-06-2015,08:31:29
0.2006422132,0.1937697232,0.6133227348,0.4125560522,0.1930319667,0.6585109545,03-06-2015,08:30:37
0.1375174373,0.274638772,0.7386822104,0.474601388,0.1132423431,0.5576662059,03-06-2015,08:11:59
0.0979218483,0.1952903569,0.7963741422,0.5849635601,0.1218242347,0.7133625597,03-06-2015,02:49:00
0.1769587249,0.2236566395,0.6978974938,0.3273884654,0.2719961405,0.7263298887,03-06-2015,02:48:12
0.2139297575,0.2708721757,0.6329125762,0.1576621383,0.3575359583,0.6205547107,03-06-2015,02:46:14
0.2472189516,0.1617354304,0.1029001474,0.2735721469,0.3174734414,0.6086127341,03-06-2015,00:50:25
0.1464650035,0.0912790149,0.9096453786,0.6765101552,0.0857459158,0.6948404535,03-06-2015,00:34:07
0.0237785466,0.0254422743,0.3888760209,0.8429422379,0.1078369617,0.5732329755,03-05-2015,23:55:16
0.1118604913,0.1830529869,0.8030330539,0.3851245046,0.3199620545,0.5385928271,03-05-2015,23:04:57
0.2031605095,0.2136500925,0.5108681321,0.2910912335,0.2920981944,0.5279085372,03-05-2015,22:57:33
0.1699711233,0.2394895703,0.2144562751,0.3075937033,0.2829456031,0.5790606893,03-05-2015,22:52:50
0.2199555337,0.1461556405,0.5152044296,0.0789300203,0.5549588799,0.5171122319,03-05-2015,22:51:52
